CODE,ONHAND,,,,,,,,,,,,,,,,
05980-425-M-6,0,,,,,,,,,,,,,,,,
05980-425-M-7,0,,,,,,,,,,,,,,,,
05980-425-M-8,0,,,,,,,,,,,,,,,,
05980-425-M-9,0,,,,,,,,,,,,,,,,
06004-241-M-8,0,,,,,,,,,,,,,,,,
06004-241-M-9,0,,,,,,,,,,,,,,,,
0607-LT105-1314,0,,,,,,,,,,,,,,,,
0607-LT105-3XL,1,,,,,,,,,,,,,,,,
0607-LT105-L,2,,,,,,,,,,,,,,,,
0607-LT105-M,3,,,,,,,,,,,,,,,,
0607-LT105-XL,2,,,,,,,,,,,,,,,,
0611R-5/6,3,,,,,,,,,,,,,,,,
0612-055-R-8,1,,,,,,,,,,,,,,,,
0614-32,1,,,,,,,,,,,,,,,,
0614-36,2,,,,,,,,,,,,,,,,
0614-38,2,,,,,,,,,,,,,,,,
0614-40,0,,,,,,,,,,,,,,,,
06154-159-M-6,0,,,,,,,,,,,,,,,,
06154-159-M-7,0,,,,,,,,,,,,,,,,
06154-159-M-8,0,,,,,,,,,,,,,,,,
06154-159-M-9,0,,,,,,,,,,,,,,,,
62009,0,,,,,,,,,,,,,,,,
6458803,0,,,,,,,,,,,,,,,,
6519,0,,,,,,,,,,,,,,,,
6521,0,,,,,,,,,,,,,,,,
6522,0,,,,,,,,,,,,,,,,
6557,0,,,,,,,,,,,,,,,,
6594,0,,,,,,,,,,,,,,,,
6595,0,,,,,,,,,,,,,,,,
6599,0,,,,,,,,,,,,,,,,
06599-108-M-6,0,,,,,,,,,,,,,,,,
